record_id,date,year,store_id,store_name,suburb,seifa_score,seifa_group,product_id,product_name,brand,category,pack_size_g,regular_price,promo_price,was_price,on_promotion,discount_pct,genuine_discount,misleading_flag,units_sold,stock_level
1,01/01/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.42,5.42,5.42,0,0,0,0,91,100
2,01/08/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.29,4.07,5.29,1,23.06,1,0,43,210
3,1/15/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.21,5.21,5.21,0,0,0,0,49,117
4,1/22/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.2,5.2,5.2,0,0,0,0,52,137
5,1/29/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.51,5.51,5.51,0,0,0,0,68,138
6,02/05/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.44,5.49,6.11,1,-0.92,0,1,81,130
7,02/12/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.43,5.43,5.43,0,0,0,0,22,130
8,2/19/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.61,5.61,5.61,0,0,0,0,37,211
9,2/26/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.77,5.77,5.77,0,0,0,0,28,169
10,03/05/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.26,5.26,5.26,0,0,0,0,79,87
11,03/12/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.22,5.22,5.22,0,0,0,0,55,129
12,3/19/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.6,4.58,5.6,1,18.21,1,0,73,225
13,3/26/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.67,5.67,5.67,0,0,0,0,81,93
14,04/02/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.64,4.64,5.64,1,17.73,1,0,81,119
15,04/09/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.71,5.71,5.71,0,0,0,0,72,103
16,4/16/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.41,4.75,5.41,1,12.2,1,0,34,124
17,4/23/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.24,5.24,5.24,0,0,0,0,20,215
18,4/30/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.2,5.2,5.2,0,0,0,0,27,242
19,05/07/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.67,5.67,5.67,0,0,0,0,60,107
20,5/14/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.72,5.72,5.72,0,0,0,0,53,112
